iter	Passed	Remaining
0	141	14018
1	142	6998
2	143	4651
3	144	3471
4	145	2768
5	146	2298
6	147	1964
7	149	1714
8	150	1517
9	150	1358
10	151	1228
11	153	1122
12	154	1033
13	155	955
14	156	888
15	158	829
16	159	776
17	160	729
18	161	686
19	162	648
20	163	613
21	164	582
22	165	553
23	166	527
24	167	501
25	168	479
26	169	458
27	170	438
28	171	419
29	172	402
30	174	387
31	175	371
32	176	357
33	177	344
34	178	331
35	179	319
36	180	307
37	181	296
38	182	286
39	183	275
40	184	266
41	185	256
42	186	247
43	187	238
44	188	230
45	189	222
46	190	215
47	191	207
48	192	200
49	194	194
50	195	187
51	196	181
52	197	174
53	198	168
54	198	162
55	199	157
56	201	151
57	202	146
58	203	141
59	204	136
60	205	131
61	206	126
62	207	121
63	208	117
64	209	112
65	210	108
66	211	104
67	212	100
68	213	96
69	215	92
70	216	88
71	217	84
72	218	80
73	219	76
74	220	73
75	222	70
76	223	66
77	224	63
78	226	60
79	227	56
80	228	53
81	229	50
82	230	47
83	231	44
84	232	40
85	233	37
86	234	35
87	235	32
88	236	29
89	237	26
90	238	23
91	239	20
92	240	18
93	241	15
94	242	12
95	243	10
96	244	7
97	245	5
98	246	2
99	247	0
